french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Moineau friquet;Moineau friquet;2014;2023;-0.10570909;0.023194385;-0.151170085;-0.060248094;0.899686338;0.859701464;0.941530916;-61.40%;-74.30%;-41.90%;5.18E-06;DÃ©clin fort;Fort dÃ©clin;ODJ;autre;Similaire
Moineau friquet;Moineau friquet;2014;2023;-0.145131872;0.023045941;-0.190301916;-0.099961828;0.864908228;0.826709499;0.904871958;-72.90%;-82%;-59.30%;3.02E-10;Déclin fort;Fort déclin;STOC;autre;Similaire
Pic Ã©peiche;Pic Ã©peiche;2014;2023;0.023664676;0.003215421;0.01736245;0.029966901;1.023946906;1.017514054;1.030420428;23.70%;16.90%;31%;1.84E-13;Augmentation modérée;Augmentation modérée;STOC;odj;Similaire
Pic Ã©peiche;Pic Ã©peiche;2014;2023;0.02516625;0.011621896;0.002387333;0.047945168;1.025485594;1.002390185;1.049113128;25.40%;2.20%;54%;0.030355777;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Pic Ã©peichette;Pic Ã©peichette;2014;2023;0.03964347;0.012656015;0.014837681;0.06444926;1.04043976;1.014948305;1.066571459;42.90%;14.30%;78.60%;0.001733943;Augmentation modérée à forte;Augmentation modérée;STOC;odj;Incertain
Pic Ã©peichette;Pic Ã©peichette;2014;2023;0.046727522;0.042964486;-0.037482871;0.130937915;1.047836458;0.963210916;1.139897009;52.30%;-28.60%;224.90%;0.276778445;Incertain;Incertain;ODJ;odj;Incertain
Pic vert;Pic vert;2014;2023;0.009911492;0.011024421;-0.011696374;0.031519358;1.009960774;0.988371763;1.032021353;9.30%;-10%;32.80%;0.368626709;Incertain;Stable;ODJ;odj;Incertain
Pic vert;Pic vert;2014;2023;-0.000868105;0.003605056;-0.007934014;0.006197804;0.999132271;0.992097377;1.00621705;-0.80%;-6.90%;5.70%;0.809708446;Stable;Stable;STOC;odj;Incertain
Pie bavarde;Pie bavarde;2014;2023;0.018005944;0.004200876;0.009772226;0.026239662;1.018169028;1.00982013;1.026586952;17.60%;9.20%;26.60%;1.82E-05;Augmentation modérée;Augmentation modérée;STOC;odj;Similaire
Pie bavarde;Pie bavarde;2014;2023;0.015135579;0.003792756;0.007701778;0.02256938;1.015250702;1.007731513;1.022825996;14.60%;7.20%;22.50%;6.59E-05;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Pigeon biset domestique;Pigeon biset domestique;2014;2023;0.093419733;0.015198847;0.063629994;0.123209473;1.097922473;1.065698011;1.131121335;131.80%;77.30%;203.10%;7.92E-10;Augmentation forte;Forte augmentation;STOC;odj;Similaire
Pigeon biset domestique;Pigeon biset domestique;2014;2023;0.025289079;0.010120495;0.005452908;0.04512525;1.025611561;1.005467802;1.046158883;25.60%;5%;50.10%;0.012461513;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Pigeon ramier;Pigeon ramier;2014;2023;0.040450022;0.002499359;0.035551279;0.045348765;1.041279267;1.036190782;1.046392741;43.90%;37.70%;50.40%;6.52E-59;Augmentation forte;Augmentation modérée;STOC;odj;Similaire
Pigeon ramier;Pigeon ramier;2014;2023;0.028823963;0.003571834;0.021823169;0.035824757;1.029243394;1.022063036;1.036474196;29.60%;21.70%;38%;7.04E-16;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Pinson des arbres;Pinson des arbres;2014;2023;-0.006458546;0.00171911;-0.009828001;-0.00308909;0.993562266;0.990220136;0.996915676;-5.60%;-8.50%;-2.70%;0.000172022;Déclin modéré;Déclin modéré;STOC;odj;Different
Pinson des arbres;Pinson des arbres;2014;2023;-0.006765162;0.004646354;-0.015872015;0.002341692;0.993257671;0.984253281;1.002344436;-5.90%;-13.30%;2.10%;0.14538843;Stable;Stable;ODJ;odj;Different
Pouillot vÃ©loce;Pouillot vÃ©loce;2014;2023;-0.00129103;0.002027048;-0.005264045;0.002681985;0.998709803;0.994749786;1.002685585;-1.20%;-4.60%;2.40%;0.524189178;Stable;Stable;STOC;odj;Incertain
Pouillot vÃ©loce;Pouillot vÃ©loce;2014;2023;-0.028221936;0.016145619;-0.05986735;0.003423477;0.972172582;0.941889467;1.003429344;-22.40%;-41.70%;3.10%;0.080470527;Incertain;Incertain;ODJ;odj;Incertain
Roitelet Ã  triple bandeau;Roitelet Ã  triple bandeau;2014;2023;0.019194303;0.005615429;0.008188062;0.030200544;1.019379698;1.008221676;1.030661206;18.90%;7.60%;31.20%;0.000630515;Augmentation modérée;Augmentation modérée;STOC;odj;Incertain
