",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"71,""Fauvette mélanocéphale"",""SYLMEL"",2014,2023,0.00312558444228692,0.00999244548677818,-0.0164596087117983,0.0227107775963721,1.00313047417444,0.983675110493157,1.02297063073289,""+2.9%"",""-13.8%"",""+22.7%"",0.754436607755277,""Stable"",""Stable"""
"72,""Mésange charbonnière"",""PARMAJ"",2014,2023,0.00221403718099914,0.00364604252679229,-0.00493220617151378,0.00936028053351191,1.00221648997117,0.99507993718463,1.00940422496306,""+2%"",""-4.3%"",""+8.8%"",0.543689044655603,""Stable"",""Stable"""
"73,""Grive draine"",""TURVIS"",2014,2023,0.00101548408382224,0.00864605961943985,-0.0159307927702799,0.0179617609379245,1.00101599986236,0.984195431137661,1.01812404353692,""+0.9%"",""-13.4%"",""+17.5%"",0.906503062381616,""Stable"",""Stable"""
"74,""Mésange huppée"",""PARCRI"",2014,2023,-0.00181105964731096,0.0143243420239308,-0.0298867700142153,0.0262646507195933,0.998190579331633,0.970555423303767,1.02661260628964,""-1.6%"",""-23.6%"",""+26.7%"",0.899389727896106,""Stable"",""Stable"""
"75,""Héron cendré"",""ARDCIN"",2014,2023,-0.00385200401737828,0.00986153420632663,-0.0231806110617785,0.015476603027022,0.996155405433299,0.977085995296812,1.0155969858851,""-3.4%"",""-18.8%"",""+14.9%"",0.696086271917773,""Stable"",""Stable"""
"76,""Martin-pêcheur d'Europe"",""ALCATT"",2014,2023,-0.00440635976150626,0.0223166983880577,-0.0481470886020994,0.039334369079087,0.995603333998377,0.952993602271196,1.04011820888028,""-3.9%"",""-35.2%"",""+42.5%"",0.843477941599041,""Incertain"",""Stable"""
"77,""Corneille noire"",""CORCOR"",2014,2023,-0.00565738776528076,0.00525250647759166,-0.0159523004613604,0.00463752493079899,0.994358585117091,0.984174263593998,1.00464829489176,""-5%"",""-13.4%"",""+4.3%"",0.281442988855584,""Stable"",""Stable"""
"78,""Buse variable"",""BUTBUT"",2014,2023,-0.00756456337866077,0.00597817455833031,-0.0192817855129882,0.00415265875566672,0.992463975923101,0.980902919063554,1.00416129299058,""-6.6%"",""-15.9%"",""+3.8%"",0.205741083353075,""Stable"",""Stable"""
"79,""Mésange nonnette"",""PARPAL"",2014,2023,-0.00773150970387314,0.0109859176090617,-0.029263908217634,0.0138008888098877,0.992298301539165,0.971160133504299,1.01389656068821,""-6.7%"",""-23.2%"",""+13.2%"",0.481578827509765,""Stable"",""Stable"""
"80,""Linotte mélodieuse"",""CARCAN"",2014,2023,-0.0097822493945868,0.0249061786850582,-0.0585983596173008,0.0390338608281273,0.990265441173328,0.943085474311188,1.03980569173588,""-8.4%"",""-41%"",""+42.1%"",0.69449382487341,""Incertain"",""Incertain"""
